<TICKER>,<PER>,date,time,open,high,low,close,volume,<OPENINT>
WIG20,60,20240605,140000,2437.68,2437.68,2428.57,2432.04,1451507,0
WIG20,60,20240605,150000,2432.14,2443.91,2431.77,2443.91,1551887,0
WIG20,60,20240605,160000,2444.78,2448.51,2435.86,2442.1,1729869,0
WIG20,60,20240605,170000,2442.34,2446.94,2431.64,2445.33,5224323,0
WIG20,60,20240606,100000,2463.59,2463.59,2452.74,2457.72,1847842,0
WIG20,60,20240606,110000,2457.54,2458.21,2450.41,2458.08,1120886,0
WIG20,60,20240606,120000,2458.02,2458.3,2440.86,2442.85,912684,0
WIG20,60,20240606,130000,2442.71,2447.99,2437.6,2445.53,657384,0
WIG20,60,20240606,140000,2445.75,2453.33,2444.48,2449.3,807617,0
WIG20,60,20240606,150000,2449.48,2452.57,2443.72,2449.91,1127090,0
WIG20,60,20240606,160000,2449.91,2454.8,2446.36,2451.08,1301743,0
WIG20,60,20240606,170000,2451.54,2468.21,2450.43,2462.49,4534689,0
WIG20,60,20240607,100000,2468.74,2468.74,2437.69,2443.98,1321821,0
WIG20,60,20240607,110000,2444.04,2444.08,2430.08,2432.29,1094643,0
WIG20,60,20240607,120000,2432.4,2435.17,2423.36,2426.25,1345530,0
WIG20,60,20240607,130000,2426.52,2428.04,2419.03,2422.21,1262506,0
WIG20,60,20240607,140000,2422.01,2439.66,2421.14,2438.37,1376155,0
WIG20,60,20240607,150000,2438.43,2446.44,2427.42,2435.84,1908859,0
WIG20,60,20240607,160000,2436.31,2442.9,2429.75,2434.3,1924276,0
WIG20,60,20240607,170000,2435.3,2436.01,2428.73,2428.84,4278637,0
WIG20,60,20240610,100000,2420.26,2420.78,2410.22,2420.78,1525291,0
WIG20,60,20240610,110000,2420.8,2421.34,2401.51,2401.51,1401168,0
WIG20,60,20240610,120000,2401.9,2413.77,2401.9,2410.6,1102959,0
WIG20,60,20240610,130000,2410.84,2414.55,2406.95,2411.34,1079940,0
WIG20,60,20240610,140000,2411.39,2417.47,2410.48,2412.87,958215,0
WIG20,60,20240610,150000,2412.48,2423.42,2412.48,2422.09,1197551,0
WIG20,60,20240610,160000,2421.99,2425.53,2413.4,2425.49,1268976,0
WIG20,60,20240610,170000,2426.93,2428.59,2423.39,2428.58,2712460,0
WIG20,60,20240611,100000,2436.5,2437.59,2425.62,2433.7,945077,0
WIG20,60,20240611,110000,2434.12,2439.66,2422.16,2422.19,1083519,0
WIG20,60,20240611,120000,2421.3,2425.39,2408.55,2408.55,1389013,0
WIG20,60,20240611,130000,2407.88,2416.05,2404.35,2409.52,1302794,0
WIG20,60,20240611,140000,2409.41,2413.77,2401,2412.35,1030973,0
WIG20,60,20240611,150000,2412.22,2413.67,2406.22,2407.65,1050593,0
WIG20,60,20240611,160000,2408.13,2417.99,2407.55,2415.49,1662498,0
WIG20,60,20240611,170000,2415.78,2416.28,2402.91,2402.91,4866319,0
WIG20,60,20240612,100000,2416.4,2425.47,2410.48,2425.35,1855508,0
WIG20,60,20240612,110000,2425.32,2426.04,2418.08,2419.63,1739442,0
WIG20,60,20240612,120000,2419.68,2422.38,2412.61,2416.5,1490185,0
WIG20,60,20240612,130000,2416.35,2416.42,2412.57,2415.91,1490961,0
WIG20,60,20240612,140000,2415.89,2421.62,2414.53,2420.61,1147562,0
WIG20,60,20240612,150000,2421.06,2452.94,2412.93,2450.52,2391465,0
